"Frequency","Taxa","relativeFrequency"
93,"Avenella_flexuosa",0.948979591836735
92,"Hylocomium_splendens",0.938775510204082
68,"Ptilium_crista_castrensis",0.693877551020408
63,"Pleurozium_schreberi",0.642857142857143
58,"Marchantiophyta",0.591836734693878
58,"Vaccinium_myrtillus",0.591836734693878
56,"Dicranum_sp",0.571428571428571
55,"Vaccinium_vitis_idaea",0.561224489795918
50,"Rhytidiadelphus_squarrosus_subpinnatus",0.510204081632653
39,"Gymnocarpium_dryopteris",0.397959183673469
35,"Rubus_idaeus",0.357142857142857
33,"Picea_abies",0.336734693877551
32,"Agrostis_capillaris",0.326530612244898
31,"Plagiochila_asplenioides",0.316326530612245
31,"Rhytidiadelphus_loreus",0.316326530612245
29,"Trientalis_europaea",0.295918367346939
25,"Betula_pubescens",0.255102040816327
25,"Sorbus_aucuparia",0.255102040816327
22,"Maianthemum_bifolium",0.224489795918367
22,"Melampyrum_pratense",0.224489795918367
21,"Luzula_pilosa",0.214285714285714
18,"Cirriphyllum_piliferum",0.183673469387755
16,"Epilobium_angustifolium",0.163265306122449
15,"Melampyrum_sylvaticum",0.153061224489796
14,"Deschampsia_cespitosa",0.142857142857143
13,"Anemone_nemorosa",0.13265306122449
12,"Linnaea_borealis",0.122448979591837
11,"Hylocomiastrum_umbratum",0.112244897959184
9,"Geranium_sylvaticum",0.0918367346938776
8,"Chamaepericlymenum_suecicum",0.0816326530612245
7,"Rhytidiadelphus_triquetrus",0.0714285714285714
6,"Oxalis_acetosella",0.0612244897959184
6,"Polytrichum_astrum",0.0612244897959184
6,"Ptilidium_ciliare",0.0612244897959184
6,"Rhodobryum_roseum",0.0612244897959184
5,"Anthoxanthum_odoratum",0.0510204081632653
5,"Athyrium_filix_femina",0.0510204081632653
5,"Plagiomnium_undulatum",0.0510204081632653
5,"Rubus_saxatilis",0.0510204081632653
4,"Sciuro_hypnum_starkei",0.0408163265306122
3,"Dryopteris_expansa",0.0306122448979592
3,"Empetrum_nigrum",0.0306122448979592
3,"Filipendula_ulmaria",0.0306122448979592
3,"Pinus_sylvestris",0.0306122448979592
3,"Plagiothecium_undulatum",0.0306122448979592
3,"Poaceae",0.0306122448979592
3,"Salix_caprea",0.0306122448979592
2,"Aqonitium_lycoctonium",0.0204081632653061
2,"Festuca_sp",0.0204081632653061
2,"Phegopteris_connectilis",0.0204081632653061
2,"Potentilla_erecta",0.0204081632653061
1,"Alchemilla_sp_",0.0102040816326531
1,"Blechnum_spicant",0.0102040816326531
1,"Calluna_vulgaris",0.0102040816326531
1,"Epilobium_sp_",0.0102040816326531
1,"Geum_rivale",0.0102040816326531
1,"Goodyera_repens",0.0102040816326531
1,"Gras_1",0.0102040816326531
1,"Plagiomnium_ellipticum",0.0102040816326531
1,"Plagiothecium_laetum_curvifolium",0.0102040816326531
1,"Ranunculus_repens",0.0102040816326531
1,"Sciuro_hypnum_reflexum",0.0102040816326531
1,"Taraxacum_officinale",0.0102040816326531
1,"Veronica_officinalis",0.0102040816326531
1,"Viola_sp_",0.0102040816326531
