Year,LocalityCode,LocalityName,Treatment,Plot,Method,Agrostis_capillaris,Alchemilla_glabra,Alchemilla_sp_,Alnus_incana,Andromeda_polifolia,Anemone_nemorosa,Anthoxanthum_odoratum,Aqonitium_lycoctonium,Athyrium_filix_femina,Avenella_flexuosa,Bare_ground,Bare_ground_branch,Betula_pendula,Betula_pubescens,Blechnum_spicant,Bryophyta,Calamagrostis_phragmitoides,Calamagrostis_sp,Calluna_vulgaris,Cares_flava,Carex_canescens,Carex_echinata,Carex_nigra,Carex_pallescens,Carex_pilulifera,Carex_sp_,Cerastium_fontanum,Chamaepericlymenum_suecicum,Chrysosplenium_alternifolium,Circium_heterophyllum,Cirriphyllum_piliferum,Cow_shit,Cystopteris_fragilis,Dactylorhiza_fuchsii,Dactylorhiza_maculata,Deschampsia_cespitosa,Dicranum_sp,Dryopteris_carthusiana,Dryopteris_expansa,Dryopteris_filix_mas,Empetrum_nigrum,Epilobium_angustifolium,Epilobium_hornemannii,Epilobium_montanum,Epilobium_sp_,Equisetum_arvense,Equisetum_pratense,Equisetum_sylvaticum,Eriophorum_angustifolium,Eriophorum_vaginatum,Festuca_sp,Filipendula_ulmaria,Fragaria_vesca,Galeopsis_sp_,Galeopsis_tetrahit,Geranium_sylvaticum,Geum_rivale,Geum_urbanum,Goodyera_repens,Gras_1,Gymnocarpium_dryopteris,Huperzia_selago,Hylocomiastrum_umbratum,Hylocomium_splendens,Hypericum_sp,Juniperus_communis,Lichens,Linnaea_borealis,Listera_cordata,Listera_ovata,Litter,Luzula_pilosa,Luzula_sp_,Lycopodium_annotinum,Maianthemum_bifolium,Marchantiophyta,Melampyrum_pratense,Melampyrum_sylvaticum,Melica_nutans,Milium_effusum,Molinia_caerulea,No_occurrence,Orthilia_secunda,Oxalis_acetosella,Phegopteris_connectilis,Picea_abies,Pinguicula_vulgaris,Pinus_sylvestris,Plagiochila_asplenioides,Plagiomnium_ellipticum,Plagiomnium_undulatum,Plagiothecium_laetum_curvifolium,Plagiothecium_undulatum,Pleurozium_schreberi,Poa_nemoralis,Poa_pratensis,Poaceae,Polytrichum_astrum,Pooideae_sp_,Potentilla_erecta,Ptilidium_ciliare,Ptilium_crista_castrensis,Pyrola_sp_,Ranunculus_acris,Ranunculus_repens,Rhodobryum_roseum,Rhytidiadelphus_loreus,Rhytidiadelphus_squarrosus_subpinnatus,Rhytidiadelphus_triquetrus,Rubus_chamaemorus,Rubus_idaeus,Rubus_saxatilis,Rumex_acetosa,Salix_caprea,Salix_sp_,Sciuro_hypnum_reflexum,Sciuro_hypnum_starkei,Selaginella_selaginoides,Solidago_virgaurea,Sorbus_aucuparia,Sphagnum_sp,Stellaria_graminea,Taraxacum_officinale,Trientalis_europaea,Vaccinium_myrtillus,Vaccinium_uliginosum,Vaccinium_vitis_idaea,Veronica_chamaedrys,Veronica_officinalis,Viola_sp_
2016,1KUB,namdalseid_1kub,UB,1,Observed,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1KUB,namdalseid_1kub,UB,1,Point_Intercept,,,,,,,,,,26,,,,,,10,,,,,,,,,,,,,,,,,,,,,7,,,,,9,,,,,,,,,,,,,,,,,,,3,,,16,,,,,,,6,,,,,6,,,,,,,,,,61,,,1,,,,,4,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,3,21,,,,,
2016,1KUB,namdalseid_1kub,UB,2,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2016,1KUB,namdalseid_1kub,UB,2,Point_Intercept,,,,,,,,,,158,,,,,,5,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,11,,,,,3,14,,,,,,,,,,,,,,,,,14,,,,7,,,,7,,,,,,5,,,1,,,,,,,,,,,,,,1,,8,,,
2016,1KUB,namdalseid_1kub,UB,3,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1KUB,namdalseid_1kub,UB,3,Point_Intercept,7,,,,,,,,,57,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,16,1,,,2,3,,,,,,,,1,,,,,2,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,2,7,,1,,,
2016,1KUB,namdalseid_1kub,UB,7,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1KUB,namdalseid_1kub,UB,7,Point_Intercept,55,,,,,,,,1,85,,,,,,5,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,11,,,,,,,8,,,,,,,,23,,,,,,,,7,,,,,,,,,,,,,,4,,,,5,,,,,,,,,,,,1,4,,,,,
2016,1KUB,namdalseid_1kub,UB,10,Observed,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2016,1KUB,namdalseid_1kub,UB,10,Point_Intercept,,,,,,,,,24,13,,,,,,2,,,,,,,,,,,,,,,3,,,,,,7,,1,,,29,,,,,,,,,,,,,,,,,,,8,,3,3,,,,,,,14,,,,1,11,,,,,,,,,,31,,,9,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
